"author","title","time","numberComments","numberofWords","CurrentAffairs","Education","Music","Philosophy","PoliticalScience","Science","History","Law","Games","Books","FoodandDrink","DataSource","WebTech"
"Tyler Cowen","Terrorists and false positives",2010-01-01,2,139,0,0,0,0,0,0,0,1,0,0,0,1,0
"Tyler Cowen","Public Domain Day",2010-01-01,1,234,0,0,0,0,0,0,0,1,0,1,0,0,0
"Alex Tabarrok","Markets in Everything: Placebos",2010-01-01,NA,36,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Peter Boettke\u2019s announcement",2010-01-01,2,134,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","How to capture an idea",2010-01-01,NA,311,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","Assorted links",2010-01-02,NA,68,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","Advice for your children: 2010-2020",2010-01-02,3,239,0,1,0,0,0,0,0,0,0,0,0,0,0
"Alex Tabarrok","Assorted Movie Links",2010-01-02,NA,174,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","The economic theories of the MLA",2010-01-02,1,207,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Price discrimination",2010-01-03,NA,78,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","My visit to Yemen",2010-01-03,1,377,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","\u201cFruitful Decade for Many in the World\u201d",2010-01-03,2,433,0,0,0,0,0,0,1,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-04,NA,41,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","Markets in everything, South Korean faux funeral edition",2010-01-04,NA,284,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","The charity tax",2010-01-04,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alex Tabarrok","Soviet Growth & American Textbooks",2010-01-04,4,651,0,1,0,0,0,0,1,0,0,0,0,0,0
"Tyler Cowen","Ben Casnocha on advice",2010-01-05,1,130,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-05,NA,52,0,0,0,0,0,0,0,0,0,0,0,0,1
"Alex Tabarrok","Words of Wisdom from Robert Shiller",2010-01-05,3,103,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","The economics of advice",2010-01-05,3,276,0,1,0,1,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Daron Acemoglu on the U.S.-Mexican border",2010-01-05,2,457,0,1,0,0,0,0,0,1,0,0,0,0,0
"Tyler Cowen","Peter Leeson update",2010-01-06,NA,42,1,0,0,0,1,0,0,1,0,0,0,0,0
"Tyler Cowen","More on the economics of credit cards",2010-01-06,2,269,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-06,NA,155,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","The Visa fees article",2010-01-06,4,508,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","French sales start today, by law",2010-01-06,2,189,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tyler Cowen","The trials of Tony Judt",2010-01-07,NA,106,0,0,0,1,0,0,0,0,0,0,0,0,0
"Tyler Cowen","The theory of optimal fines",2010-01-07,1,129,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tyler Cowen","Six bullet points on why people go to graduate school in the humanities",2010-01-07,4,339,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","The Pamuk brothers",2010-01-07,NA,146,0,0,0,0,0,0,1,0,0,1,0,0,0
"Tyler Cowen","What\u2019s the value of your time?",2010-01-07,2,427,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","My Law and Literature reading list, Spring 2010",2010-01-07,1,150,0,1,0,0,0,0,0,1,0,1,0,0,0
"Tyler Cowen","Burning books in Wales?",2010-01-08,NA,94,0,0,0,0,0,0,0,0,0,1,0,0,0
"Tyler Cowen","Large industrial enterprises in the late 19th century",2010-01-08,NA,112,0,0,0,0,0,0,1,0,0,1,0,0,0
"Tyler Cowen","Assorted links",2010-01-08,1,52,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","My favorite things Florida",2010-01-08,2,214,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Evidence from India on neighborhood diversity",2010-01-08,NA,266,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Prison protectionism",2010-01-09,NA,59,0,0,0,0,0,0,1,0,0,0,0,0,0
"Alex Tabarrok","Innovative Solutions to the Shortage of Transplant Organs",2010-01-09,1,383,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tyler Cowen","Assorted links",2010-01-09,NA,44,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","Critique of transhumanism",2010-01-09,1,139,0,0,0,1,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Andrei Shleifer on the Junker problem",2010-01-10,1,274,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","How many scary ideas can you fit into one paragraph?",2010-01-10,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0
"Alex Tabarrok","Simpler Times",2010-01-10,2,269,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-10,1,136,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","One data point on tax incidence",2010-01-10,1,173,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Response on the Chait-Manzi debate",2010-01-11,2,356,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tyler Cowen","French-Tasmanian betting markets in everything",2010-01-11,NA,150,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-11,1,65,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","The Washington Post on Austro-Chinese business cycle theory",2010-01-11,NA,155,0,0,0,0,0,0,0,0,0,0,0,0,0
